29017;Tapu Kadastro;205;219
10809;Tarım Ekonomisi;1627;2491
10803;Tarım Makineleri Ve Teknolojileri Mühendisliği;169;1162
122334;Tarım Ticareti Ve İşletmeciliği;5;7
10814;Tarımsal Biyoteknoloji;565;726
19053;Tarımsal Genetik Mühendisliği;85;91
10804;Tarımsal Yapılar Ve Sulama;209;553
10201;Tarih;20207;28788
49012;Tarih(açıköğretim);20111;35275
10200;Tarih Öğretmenliği;291;399
19054;Tarih Öncesi Arkeolojisi;203;209
10805;Tarla Bitkileri;1245;3343
11504;Teknoloji Ve Bilgi Yönetimi;38;63
10203;Tekstil Mühendisliği;1556;1394
39012;Tekstil Mühendisliği (M.T.O.K.);9;7
719000;Tekstil Tasarımı;86;15
39011;Tekstil Tasarımı (M.T.O.K.);0;0
97117;Tekstil Ve Moda Tasarımı(açıköğretim);89;21
19066;Tekstil Ve Moda Tasarımı (Fakülte);443;86
97116;Tekstil Ve Moda Tasarımı (Yüksekokul);13;2
10205;Televizyon Haberciliği Ve Programcılığı;198;190
10206;Tıp;48584;48913
19067;Tıp Mühendisliği;131;118
19520;Tiyatro Eleştirmenliği Ve Dramaturji;149;133
72000;Tohum Bilimi Ve Teknolojisi;10;19
10806;Toprak Bilimi Ve Bitki Besleme;610;1307
10208;Turizm İşletmeciliği (Fakülte);2991;5790
20084;Turizm İşletmeciliği (Yüksekokul);256;445
11007;Turizm Rehberliği (Fakülte);2941;3345
72100;Turizm Rehberliği (Yüksekokul);374;398
20085;Turizm Ve Otel İşletmeciliği;0;0
10213;Türk Dili Ve Edebiyatı;33332;13519
49013;Türk Dili Ve Edebiyatı(açıköğretim);50647;24429
10212;Türk Dili Ve Edebiyatı Öğretmenliği;477;242
10214;Türk Halkbilimi;659;725
18020;Türk İslam Arkeolojisi;58;75
10215;Türkçe Öğretmenliği;11905;7194
60018;Türkoloji;0;0
20087;Tütün Eksperliği;10;75
123441;Uçak Bakım Ve Onarım (Fakülte);6;121
97118;Uçak Bakım Ve Onarım (Yüksekokul);5;103
20088;Uçak Elektrik Ve Elektroniği;9;55
19056;Uçak Gövde Ve Motor Bakımı (Fakülte);29;201
20089;Uçak Gövde Ve Motor Bakımı (Yüksekokul);12;170
10216;Uçak Mühendisliği;277;1161
19620;Ukrayna Dili Ve Edebiyatı;39;42
97183;Uluslararası Ekonomik İlişkiler;0;0
10218;Uluslararası Finans;223;395
19059;Uluslararası Finans Ve Bankacılık;42;27
11109;Uluslararası Girişimcilik;27;47
